age,qx
18,0.000319325336
19,0.0003599904012
20,0.0004038210609
21,0.0004490058054
22,0.0004900271306
23,0.0005239749444
24,0.0005528288311
25,0.0005792428856
26,0.0006083698827
27,0.000644140935
28,0.0006904740003
29,0.0007463686634
30,0.0008077084203
31,0.0008699993487
32,0.0009326214204
33,0.0009922479512
34,0.00104914757
35,0.001111621968
36,0.001178261242
37,0.001239758683
38,0.001295075403
39,0.001350570004
40,0.001413669437
41,0.001493134769
42,0.001592680812
43,0.001713613397
44,0.001851318986
45,0.002005482558
46,0.00217214739
47,0.002347472124
48,0.002534092171
49,0.002740650205
50,0.002963668434
51,0.003217092948
52,0.003519310849
53,0.003869172651
54,0.00424638344
55,0.004622787703
56,0.005000297911
57,0.005404759198
58,0.005853105336
59,0.006346187089
60,0.006891200319
61,0.007454934996
62,0.008003742434
63,0.00851961039
64,0.009032681584
65,0.009572555311
66,0.01023621112
67,0.01102971844
68,0.01201794669
69,0.01318734884
70,0.01448410191
71,0.01595581509
72,0.01738200337
73,0.01943074726
74,0.02119757049
75,0.02354857884
76,0.02591741085
77,0.02900221013
78,0.03222032636
79,0.03594438732
80,0.04004288465
81,0.04457825422
82,0.05043124035
83,0.05690841377
84,0.06320481002
85,0.07107556611
86,0.08025199175
87,0.09043326974
88,0.1016822308
89,0.1140535027
